0 4000 26000 4000 25880 0 0 0 300
0 4000 25880 4000 6000 0 0 0 1600
1 4000 6000 5999 4000 5999 6000 0 1600
0 5999 4000 22000 4000 0 0 0 1600
1 22000 4000 24000 5999 22000 5999 0 1600
0 24000 5999 24000 28000 0 0 0 1600
1 24000 28000 20000 28000 22000 27999 0 1600
0 20000 28000 20000 10000 0 0 0 1600
1 20000 10000 16000 10000 18000 10001 1 1600
0 16000 10000 16000 28000 0 0 0 1600
1 16000 28000 12000 28000 14000 27999 0 1600
0 12000 28000 12000 10000 0 0 0 1600
1 12000 10000 8000 10000 10000 10001 1 1600
0 8000 10000 8000 28000 0 0 0 1600
1 8000 28000 4000 28000 6000 27999 0 1600
0 4000 28000 4000 26020 0 0 0 500
0 4000 26020 4000 25900 0 0 0 300
2 4000 25900 1000 26000 0 0 0 500
0 1000 26000 1000 25880 0 0 0 300
0 1000 25880 1000 3999 0 0 0 1600
1 1000 3999 3999 1000 3999 3999 0 1600
0 3999 1000 25000 1000 0 0 0 1600
1 25000 1000 28000 3999 25000 3999 0 1600
0 28000 3999 28000 31000 0 0 0 1600
1 28000 31000 26000 33000 26000 31000 0 1600
0 26000 33000 3000 33000 0 0 0 1600
1 3000 33000 1000 31000 3000 31000 0 1600
0 1000 31000 1000 26020 0 0 0 500
0 1000 26020 1000 25900 0 0 0 300
-1 1000 25900 0 0 0 0 0 0
